id	rank	unit	unit_list_display
#unit_list_display_to_unit_junctions_tables;0;db/unit_list_display_to_unit_junctions_tables/zzz_cbfm_caravan_fix			
1187213283	3	wh3_main_cth_inf_jade_warrior_crossbowmen_1	wh3_main_skill_innate_cth_caravan_master_stealth
1746432528	3	wh3_main_cth_inf_jade_warrior_crossbowmen_1	wh3_main_skill_innate_cth_caravan_master_stealth
1389338899	3	wh3_main_cth_inf_jade_warriors_0	wh3_main_skill_innate_cth_caravan_master_stealth
146160290	3	wh3_main_cth_inf_jade_warriors_1	wh3_main_skill_innate_cth_caravan_master_stealth
535940919	3	wh3_main_cth_inf_jade_warriors_0	wh3_main_skill_innate_cth_caravan_master_stealth
1128673850	3	wh3_main_cth_inf_peasant_archers_0	wh3_main_skill_innate_cth_caravan_master_stealth
59076812	3	wh3_main_cth_inf_peasant_archers_0	wh3_main_skill_innate_cth_caravan_master_stealth
1391791696	3	wh3_main_cth_inf_peasant_spearmen_1	wh3_main_skill_innate_cth_caravan_master_stealth
1566231440	3	wh3_main_cth_inf_peasant_spearmen_1	wh3_main_skill_innate_cth_caravan_master_stealth
