bonus_value_id	effect	unit_set
#effect_bonus_value_ids_unit_sets_tables;0;db/effect_bonus_value_ids_unit_sets_tables/zzz_cbfm_grom_drycha_vs_elves		
morale	cbfm_elven_morale_debuff	hef_casters
morale	cbfm_elven_morale_debuff	hef_archers
morale	cbfm_elven_morale_debuff	hef_boltthrower
morale	cbfm_elven_morale_debuff	hef_dlc10_trees
morale	cbfm_elven_morale_debuff	hef_chariots
morale	cbfm_elven_morale_debuff	hef_dragonprince
morale	cbfm_elven_morale_debuff	hef_dragons
morale	cbfm_elven_morale_debuff	wef_dlc05_great_eagles
morale	cbfm_elven_morale_debuff	hef_phoenixguard
morale	cbfm_elven_morale_debuff	hef_phoenix
morale	cbfm_elven_morale_debuff	hef_reavers
morale	cbfm_elven_morale_debuff	hef_seaguard
morale	cbfm_elven_morale_debuff	hef_shadow_warriors
morale	cbfm_elven_morale_debuff	hef_silverhelms
morale	cbfm_elven_morale_debuff	hef_sisters_of_avelorn
morale	cbfm_elven_morale_debuff	hef_spearmen
morale	cbfm_elven_morale_debuff	hef_swordmasters
morale	cbfm_elven_morale_debuff	hef_whitelions
morale	cbfm_elven_morale_debuff	mp_cap_hero_hef_caradryan
morale	cbfm_elven_morale_debuff	wh3_dlc27_hef_aquatic_units
morale	cbfm_elven_morale_debuff	mp_cap_unit_hef_mon_war_lions
morale	cbfm_elven_morale_debuff	wh2_dlc10_hef_handmaiden
morale	cbfm_elven_morale_debuff	wh3_dlc27_hef_aislinn
morale	cbfm_elven_morale_debuff	wh2_dlc15_mistwalkers
morale	cbfm_elven_morale_debuff	elven_unit_morale_debuff
morale	cbfm_elven_morale_debuff	wef_dlc05_elf_characters
morale	cbfm_elven_morale_debuff	wef_dlc05_trees
morale	cbfm_elven_morale_debuff	wef_dlc05_wood_elf_cavalry
morale	cbfm_elven_morale_debuff	wef_dlc05_wood_elf_infantry
morale	cbfm_elven_morale_debuff	wef_orion
morale	cbfm_elven_morale_debuff	wh2_dlc16_wef_zoats
morale	cbfm_elven_morale_debuff	wef_dlc05_wood_elf_branchwraiths
morale	cbfm_elven_morale_debuff	wef_dlc05_wood_elf_dragon
morale	cbfm_elven_morale_debuff	wh2_dlc16_wef_ancient_treemen
morale	cbfm_elven_morale_debuff	wh2_dlc16_drycha_monstermash
morale	cbfm_elven_morale_debuff	def_characters
morale	cbfm_elven_morale_debuff	def_boltthrowers
morale	cbfm_elven_morale_debuff	feral_cold_ones_def_cold_one_riders
morale	cbfm_elven_morale_debuff	def_blackguard
morale	cbfm_elven_morale_debuff	def_coldonechariots
morale	cbfm_elven_morale_debuff	def_corsairs
morale	cbfm_elven_morale_debuff	def_crossbowmen
morale	cbfm_elven_morale_debuff	def_darkriders
morale	cbfm_elven_morale_debuff	def_doomfire_warlocks
morale	cbfm_elven_morale_debuff	def_monsters
morale	cbfm_elven_morale_debuff	def_executioners
morale	cbfm_elven_morale_debuff	def_shades
morale	cbfm_elven_morale_debuff	def_spearmen
morale	cbfm_elven_morale_debuff	def_witchelves_and_sisters_of_slaughter
morale	cbfm_elven_morale_debuff	def_swordmen
morale	cbfm_elven_morale_debuff	wh2_dlc14_def_scourgerunner_chariots
morale	cbfm_elven_morale_debuff	def_harpies
morale	cbfm_elven_morale_debuff	wh2_dlc15_hef_silverin_guard
