key	table_name
#twad_key_deletes_tables;0;db/twad_key_deletes_tables/zzz_cbfm_discovery_buildings	
499071649	campaign_building_level_factorial_effect_junctions
941719806	campaign_building_level_factorial_effect_junctions
451227630	campaign_building_level_factorial_effect_junctions
1499187342	campaign_building_level_factorial_effect_junctions
1638889067	campaign_building_level_factorial_effect_junctions
207839905	campaign_building_level_factorial_effect_junctions
606714105	campaign_building_level_factorial_effect_junctions
841709734	campaign_building_level_factorial_effect_junctions
619229050	campaign_building_level_factorial_effect_junctions
579292414	campaign_building_level_factorial_effect_junctions
2059531669	campaign_building_level_factorial_effect_junctions
77472712	campaign_building_level_factorial_effect_junctions
65266503	campaign_building_level_factorial_effect_junctions
692194583	campaign_building_level_factorial_effect_junctions
1664026935	campaign_building_level_factorial_effect_junctions
80891257	campaign_building_level_factorial_effect_junctions
498050069	campaign_building_level_factorial_effect_junctions
