effect	bonus_value_id	unit_ability
#effect_bonus_value_unit_ability_junctions_tables;0;db/effect_bonus_value_unit_ability_junctions_tables/zzz_cbfm_miscast_reduction_fix		
wh_main_effect_character_stat_miscast	miscast_percentage_mod	wh_dlc03_spell_beasts_flock_of_doom_upgraded
wh_main_effect_character_stat_miscast	miscast_percentage_mod	wh_dlc03_spell_beasts_panns_impenetrable_pelt_upgraded
wh_main_effect_character_stat_miscast	miscast_percentage_mod	wh_dlc03_spell_beasts_the_amber_spear_upgraded
wh_main_effect_character_stat_miscast	miscast_percentage_mod	wh_dlc03_spell_beasts_the_curse_of_anraheir_upgraded
wh_main_effect_character_stat_miscast	miscast_percentage_mod	wh_dlc03_spell_beasts_wyssans_wildform_upgraded
wh_main_effect_character_stat_miscast	miscast_percentage_mod	wh_main_spell_death_aspect_of_the_dreadknight_upgraded
wh_main_effect_character_stat_miscast	miscast_percentage_mod	wh_main_spell_death_doom_and_darkness_upgraded
wh_main_effect_character_stat_miscast	miscast_percentage_mod	wh_main_spell_death_soulblight_upgraded
wh_main_effect_character_stat_miscast	miscast_percentage_mod	wh_main_spell_death_spirit_leech_upgraded
wh_main_effect_character_stat_miscast	miscast_percentage_mod	wh_main_spell_death_the_purple_sun_of_xereus_upgraded
wh_main_effect_character_stat_miscast	miscast_percentage_mod	wh_main_spell_fire_fireball_upgraded
wh_main_effect_character_stat_miscast	miscast_percentage_mod	wh_main_spell_fire_flame_storm_upgraded
wh_main_effect_character_stat_miscast	miscast_percentage_mod	wh_main_spell_fire_flaming_sword_of_rhuin_upgraded
wh_main_effect_character_stat_miscast	miscast_percentage_mod	wh_main_spell_fire_piercing_bolts_of_burning_upgraded
wh_main_effect_character_stat_miscast	miscast_percentage_mod	wh_main_spell_fire_the_burning_head_upgraded
wh_main_effect_character_stat_miscast	miscast_percentage_mod	wh_main_spell_heavens_comet_of_casandora_upgraded
